EmployeeID,Department,Salary,Age,Gender,JobTitle,HiringDate,YearsWithCompany,EducationLevel
1,Sales,50000,29,Male,Sales Manager,2018-05-12,3,Bachelor's
2,HR,60000,34,Female,HR Specialist,2015-08-22,6,Master's
3,Engineering,80000,28,Male,Software Developer,2019-03-18,2,Bachelor's
4,Marketing,70000,40,Female,Marketing Director,2013-01-10,8,Master's
5,Engineering,85000,32,Male,Data Engineer,2017-09-05,4,Bachelor's
6,Sales,55000,25,Female,Sales Associate,2020-11-01,1,Associate's
7,HR,65000,38,Female,HR Manager,2014-07-15,7,Bachelor's
8,Engineering,90000,27,Male,Software Engineer,2021-02-10,1,Bachelor's
9,Marketing,72000,30,Female,Brand Manager,2016-06-25,5,Master's
10,Sales,51000,33,Male,Sales Associate,2019-04-09,2,Associate's
